chord_ID,chord_HTML
4,IV
6,vi
5,V
2,ii
3,iii
27,ii<sup>7</sup>
47,IV<sup>7</sup>
67,vi<sup>7</sup>
16,I<sup>6</sup>
56,V<sup>6</sup>
5/6,V/vi
37,iii<sup>7</sup>
164,I<sup>6</sup><sub>4</sub>
57,V<sup>7</sup>
b7,♭VII
17,I<sup>7</sup>
5/5,V/V
664,vi<sup>6</sup><sub>4</sub>
464,IV<sup>6</sup><sub>4</sub>
57/6,V<sup>7</sup>/vi
46,IV<sup>6</sup>
66,vi<sup>6</sup>
564,V<sup>6</sup><sub>4</sub>
642,vi<sup>4</sup><sub>2</sub>
26,ii<sup>6</sup>
36,iii<sup>6</sup>
56/6,V<sup>6</sup>/vi
b6,♭VI
364,iii<sup>6</sup><sub>4</sub>
b3,♭III
265,ii<sup>6</sup><sub>5</sub>
542,V<sup>4</sup><sub>2</sub>
b4,iv
365,iii<sup>6</sup><sub>5</sub>
7,vii°
264,ii<sup>6</sup><sub>4</sub>
5/2,V/ii
57/2,V<sup>7</sup>/ii
7/6,vii°/vi
665,vi<sup>6</sup><sub>5</sub>
57/5,V<sup>7</sup>/V
57/4,V<sup>7</sup>/IV
242,ii<sup>4</sup><sub>2</sub>
77,vii<sup>??</sup><sup>7</sup>
1,I
142,I<sup>4</sup><sub>2</sub>
L7,vii
5/3,V/iii
542/4,V<sup>4</sup><sub>2</sub>/IV
7/2,vii&deg;/ii
M17,Ib7
b5,v
L27,II<sup>7</sup>
M142,I<sup>4</sup><sub>2</sub>
564/6,V<sup>6</sup><sub>4</sub>/vi
L242,II<sup>4</sup><sub>2</sub>
7/5,vii&deg;/V
442,IV<sup>4</sup><sub>2</sub>
56/5,V<sup>6</sup>/V
L4,&#9839;iv&deg;
D3,&#9837;III
165,I<sup>6</sup><sub>5</sub>
b46,iv<sup>6</sup>
464/4,IV<sup>6</sup><sub>4</sub>/IV
D47,IVb7
565/6,V<sup>6</sup><sub>5</sub>/vi
543/6,V<sup>4</sup><sub>3</sub>/vi
D6,vi&deg;
L26,II<sup>6</sup>
C5,&#9837;V
b1,i
Y5,v&deg;
Y4,iv
342,iii<sup>4</sup><sub>2</sub>
Y2,&#9837;II
7/3,vii&deg;/iii
56/2,V<sup>6</sup>/ii
543/2,V<sup>4</sup><sub>3</sub>/ii
b2,ii&deg;
b77,&#9837;VIIb7
56/3,V<sup>6</sup>/iii
4/3,IV/iii
b57,v<sup>7</sup>
M5,v
5/7,V/vii
Y3,&#9837;III
343,iii<sup>4</sup><sub>3</sub>
243,ii<sup>4</sup><sub>3</sub>
543,V<sup>4</sup><sub>3</sub>
643,vi<sup>4</sup><sub>3</sub>
b27,ii<sup>??</sup><sup>7</sup>
76,vii&deg;<sup>6</sup>
b165,i<sup>6</sup><sub>5</sub>
Y27,&#9837;II<sup>7</sup>
M57,v<sup>7</sup>
b47,iv<sup>7</sup>
443,IV<sup>4</sup><sub>3</sub>
465,IV<sup>6</sup><sub>5</sub>
L77,vii<sup>7</sup>
47/4,IV<sup>7</sup>/IV
b465,iv<sup>6</sup><sub>5</sub>
b67,&#9837;VI<sup>7</sup>
143,I<sup>4</sup><sub>3</sub>
D17,i<sup>7</sup>
L264,II<sup>6</sup><sub>4</sub>
b16,i<sup>6</sup>
L265,II<sup>6</sup><sub>5</sub>
C16,i&deg;<sup>6</sup>
57/7,V<sup>7</sup>/vii
D442,IV<sup>4</sup><sub>2</sub>
77/5,vii<sup>??</sup><sup>7</sup>/V
D16,i<sup>6</sup>
564/5,V<sup>6</sup><sub>4</sub>/V
M77,&#9837;VII<sup>7</sup>
Y56,v&deg;<sup>6</sup>
M56,v<sup>6</sup>
b56,v<sup>6</sup>
b564,v<sup>6</sup><sub>4</sub>
542/6,V<sup>4</sup><sub>2</sub>/vi
565/2,V<sup>6</sup><sub>5</sub>/ii
47/7,IV<sup>7</sup>/vii
L765,vii<sup>6</sup><sub>5</sub>
M37,iii<sup>??</sup><sup>7</sup>
b37,&#9837;III<sup>7</sup>
C37,&#9837;iii<sup>7</sup>
D37,&#9837;III<sup>7</sup>
Y37,&#9837;IIIb7
565/5,V<sup>6</sup><sub>5</sub>/V
M67,vi<sup>7</sup>
C164,i&deg;<sup>6</sup><sub>4</sub>
Y57,v<sup>??</sup><sup>7</sup>
565,V<sup>6</sup><sub>5</sub>
D5,v
M1,I
D4,IV
b17,i<sup>7</sup>
D77,&#9837;VII<sup>7</sup>
57/3,V<sup>7</sup>/iii
47/3,IV<sup>7</sup>/iii
L5,V
L1,I
542/5,V<sup>4</sup><sub>2</sub>/V
565/3,V<sup>6</sup><sub>5</sub>/iii
L6,vi
C2,&#9837;II
464/5,IV<sup>6</sup><sub>4</sub>/V
M66,vi<sup>6</sup>
b464,iv<sup>6</sup><sub>4</sub>
C464,iv<sup>6</sup><sub>4</sub>
46/4,IV<sup>6</sup>/IV
M4,IV
D26,ii<sup>6</sup>
M3,iii&deg;
443/3,IV<sup>4</sup><sub>3</sub>/iii
D67,vi<sup>??</sup><sup>7</sup>
L46,&#9839;iv&deg;<sup>6</sup>
C67,&#9837;VIb7
C465,iv<sup>6</sup><sub>5</sub>
76/5,vii&deg;<sup>6</sup>/V
542/2,V<sup>4</sup><sub>2</sub>/ii
542/3,V<sup>4</sup><sub>2</sub>/iii
564/4,V<sup>6</sup><sub>4</sub>/IV
M76,&#9837;VII<sup>6</sup>
76/6,vii&deg;<sup>6</sup>/vi
D464,IV<sup>6</sup><sub>4</sub>
Y66,&#9837;VI<sup>6</sup>
C3,&#9837;iii
46/6,IV<sup>6</sup>/vi
564/3,V<sup>6</sup><sub>4</sub>/iii
C4,iv
L764,vii<sup>6</sup><sub>4</sub>
564/2,V<sup>6</sup><sub>4</sub>/ii
76/2,vii&deg;<sup>6</sup>/ii
L564,V<sup>6</sup><sub>4</sub>
543/3,V<sup>4</sup><sub>3</sub>/iii
C1,i&deg;
M36,iii&deg;<sup>6</sup>
543/4,V<sup>4</sup><sub>3</sub>/IV
M143,I<sup>4</sup><sub>3</sub>
b26,ii&deg;<sup>6</sup>
b565,v<sup>6</sup><sub>5</sub>
C6,&#9837;VI
Y7,&#9837;vii
C57,&#9837;V<sup>7</sup>
D142,i<sup>4</sup><sub>2</sub>
b76,&#9837;VII<sup>6</sup>
Y76,&#9837;vii<sup>6</sup>
b66,&#9837;VI<sup>6</sup>
D76,&#9837;VII<sup>6</sup>
M2,ii
b36,&#9837;III<sup>6</sup>
565/4,V<sup>6</sup><sub>5</sub>/IV
Y77,&#9837;vii<sup>7</sup>
Y6,&#9837;VI
L76,vii<sup>6</sup>
b442,iv<sup>4</sup><sub>2</sub>
D565,v<sup>6</sup><sub>5</sub>
b164,i<sup>6</sup><sub>4</sub>
L57,V#7
543/5,V<sup>4</sup><sub>3</sub>/V
7/7,vii&deg;/vii
L3,iii
76/3,vii&deg;<sup>6</sup>/iii
D2,ii
47/2,IV<sup>7</sup>/ii
4/2,IV/ii
L742,vii<sup>4</sup><sub>2</sub>
M27,ii<sup>7</sup>
4/7,IV/vii
L56,V<sup>6</sup>
M542,v<sup>4</sup><sub>2</sub>
M565,v<sup>6</sup><sub>5</sub>
M443,IV<sup>4</sup><sub>3</sub>
L542,V<sup>4</sup><sub>2</sub>
77/6,vii<sup>??</sup><sup>7</sup>/vi
7/4,vii&deg;/IV
M6,vi
M47,IV<sup>7</sup>
M164,I<sup>6</sup><sub>4</sub>
M564,v<sup>6</sup><sub>4</sub>
56/4,V<sup>6</sup>/IV
D164,i<sup>6</sup><sub>4</sub>
465/4,IV<sup>6</sup><sub>5</sub>/IV
L743,vii<sup>4</sup><sub>3</sub>
L243,II<sup>4</sup><sub>3</sub>
464/3,IV<sup>6</sup><sub>4</sub>/iii
D443,IV<sup>4</sup><sub>3</sub>
Y564,v&deg;<sup>6</sup><sub>4</sub>
76/4,vii&deg;<sup>6</sup>/IV
b142,i<sup>4</sup><sub>2</sub>
D165,i<sup>6</sup><sub>5</sub>
M46,IV<sup>6</sup>
D57,v<sup>7</sup>
C77,&#9837;vii<sup>7</sup>
L37,iii<sup>7</sup>
47/6,IV<sup>7</sup>/vi
Y47,iv<sup>7</sup>
Y67,&#9837;VI<sup>7</sup>
b443,iv<sup>4</sup><sub>3</sub>
77/2,vii<sup>??</sup><sup>7</sup>/ii
D56,v<sup>6</sup>
L17,I<sup>7</sup>
M464,IV<sup>6</sup><sub>4</sub>
D564,v<sup>6</sup><sub>4</sub>
L565,V<sup>6</sup><sub>5</sub>
442/2,IV<sup>4</sup><sub>2</sub>/ii
464/6,IV<sup>6</sup><sub>4</sub>/vi
Y16,i<sup>6</sup>
b543,v<sup>4</sup><sub>3</sub>
M165,I<sup>6</sup><sub>5</sub>
L364,iii<sup>6</sup><sub>4</sub>
M642,vi<sup>4</sup><sub>2</sub>
M242,ii<sup>4</sup><sub>2</sub>
b542,v<sup>4</sup><sub>2</sub>
77/4,vii<sup>??</sup><sup>7</sup>/IV
542/7,V<sup>4</sup><sub>2</sub>/vii
L665,vi<sup>6</sup><sub>5</sub>
Y26,&#9837;II<sup>6</sup>
D66,vi&deg;<sup>6</sup>
L642,vi<sup>4</sup><sub>2</sub>
Y1,i
D36,&#9837;III<sup>6</sup>
